"n","p","q","tau","B","shape3","shapes.1","shapes.2","shapes.3","shapes.4","shapes.5","scales.1","scales.2","scales.3","scales.4","scales.5","shapes.lower.1","shapes.lower.2","shapes.lower.3","shapes.lower.4","shapes.lower.5","shapes.upper.1","shapes.upper.2","shapes.upper.3","shapes.upper.4","shapes.upper.5","scales.lower.1","scales.lower.2","scales.lower.3","scales.lower.4","scales.lower.5","scales.upper.1","scales.upper.2","scales.upper.3","scales.upper.4","scales.upper.5","logliks"
100,0.215,0.825,287.741115498861,750,0.456,1.49998900201431,1.52758593597337,0.341955916329775,0.82757767267625,1.21292400109715,1111.1131476897,1035.49909907729,1222.16576328579,1268.62399883563,668.012788712107,0.884778410963161,0.893675283576698,0.259787788951211,0.563297870023032,0.446135178762062,6.19081718553092,5.90874270832301,0.442409234939175,1.35785818562669,2.0496886796853,359.452226329421,453.954320466354,463.221536799983,572.547888762962,389.578955373204,5337.68222498458,4019.26896580078,5690.49436705517,6315.83321669357,14747.5896731351,-507.328368794757
100,0.215,0.825,287.741115498861,750,0.456,0.54189315066588,1.20980544064602,0.480864020158181,1.09296933732491,1.52255995126941,27128.814086673,643.852796115389,408.201246855921,1258.01299601997,506.754703811011,0.35673336156567,0.948267642490925,0.319232843639491,0.637072313662604,0.952889734127459,2.50809655732002,1.77685599984876,0.62888135227307,2.2681969794977,2.48403239356928,1351.70086907143,372.060321646364,216.585864369423,522.960764888497,340.105014129531,673677.848651839,1819.91979322125,1101.94788423057,26910.6951905915,1488.99209774891,-549.729284399759
100,0.215,0.825,287.741115498861,750,0.456,2.4706808276939,2.10659366268711,0.392923458698101,1.64251006454278,1.45829490699196,416.784405797326,783.907214839053,721.905114004448,493.524395992446,536.345648537978,1.23367330707214,0.908120117044497,0.289982993232473,1.12805309321992,1.03681162531644,6.09828527529995,6.53259638582292,0.514873376698497,5.34529909717061,2.19276238834512,317.372243126904,335.084005703555,307.563478131682,323.828410869824,333.119084414476,1498.37298949201,3062.27141130155,2314.58021338303,1450.14037641898,1361.91530130884,-553.039906472845
100,0.215,0.825,287.741115498861,750,0.456,4.7197824115105,1.18771230480561,0.467827819734677,0.918495099794153,1.39162098588063,2667.06288973793,1112.32960696196,229.580679329144,2501.40598665785,943.437299732332,4.70582235770193,0.708592037595153,0.367170051932234,0.606340043232668,0.85472680135224,4.70582235770193,2.23741239061783,0.619810064065941,1.38910662615071,4.17440915893569,2663.4668792822,505.072856173881,143.334222419501,740.882421012421,467.69475330172,2663.4668792822,7396.45127236815,460.184999160818,14364.4039525453,9528.19967141573,-509.047724134203
100,0.215,0.825,287.741115498861,750,0.456,1.4355770029079,0.756919167924762,0.515252707746865,1.38942950640672,1.54879359948878,929.726746805496,1927.90070239114,423.11965451565,884.605246776427,593.671644245011,0.617802787046096,0.442349106501214,0.354084406956584,0.780017907449735,1.03686479080031,3.29056708141938,1.13147215020396,0.679768002300027,5.24908805753696,3.77237903140607,432.337248869818,675.323553160413,234.17372278181,434.776194602921,375.771592177307,12327.1005036136,23412.3416574614,1197.67489408493,3775.95484046624,2023.75578505203,-546.996661581719
100,0.215,0.825,287.741115498861,750,0.456,1.26430776174216,1.14173107104573,0.550054855365318,1.43423120947006,0.948828790380714,833.211638581504,959.10595723,491.704331639992,1076.80281313963,2475.40907541457,0.671047825553912,0.581803195642449,0.397535742251342,1.0272680229794,0.636199991279222,6.60170163699405,5.14970450723612,0.766492278460067,28.8835355534679,4.460141422488,357.471145389261,365.960578071173,275.893226609814,307.98624709362,757.858553035437,10831.6047507954,17435.5183389144,1349.01797260418,5752.77078963676,12067.1462821292,-547.490137394188
100,0.215,0.825,287.741115498861,750,0.456,1.06635925280794,0.577849469911705,0.415130708339187,2.59123293458992,0.932067561434897,1015.19484148261,3872.77080509435,1264.36108868301,489.626250923624,1179.79325023647,0.558126426086367,0.40617828907984,0.323660370239699,0.74587282350322,0.60996376831516,1.62367595430597,0.984466961325046,0.551569222321842,6.76473853673574,1.46261920513726,490.122798453487,964.877362948503,551.364247652927,345.820275385181,541.424810872346,16447.5591992296,89235.0260495661,5803.08951217051,4317.09622193846,6526.71131061831,-533.795819268547
100,0.215,0.825,287.741115498861,750,0.456,0.762913168618392,1.4320082678777,0.455965070888031,1.06694864252629,1.35753385230191,1183.0531870325,628.815111799846,530.109203768379,4839.88583381809,682.531929935962,0.451149109872592,0.548027261477098,0.317269966971885,0.788291779865752,0.697925100465667,1.39465383243816,2.67440119227995,0.607445533419573,4.05615307539578,2.93761281808865,469.668453223607,367.740168443437,260.981678460079,419.631424107551,371.693206762319,13091.7306396334,19096.7120702938,2044.44164111849,11294.9009052025,6048.44761287769,-551.879942472749
100,0.215,0.825,287.741115498861,750,0.456,0.964591771014324,1.12278132228725,0.445752825955947,1.12778687225419,1.94478081246772,2516.93765617957,1061.00928392803,726.232323919321,718.155050752367,739.274442211364,0.298029615530636,0.779012517658277,0.290016647775778,0.778292143879112,0.993500482008518,7.92175452660706,5.62497693597667,0.645470110711742,1.7945961906476,16.5268413503017,347.391935547965,404.256759078429,324.037919858511,398.064194873377,304.47025641978,91644.694905182,4307.40891557925,4254.3194941328,3111.18660243671,5074.50560553564,-520.18249971086
100,0.215,0.825,287.741115498861,750,0.456,1.7221128146865,1.17439352446167,0.471002575601917,1.06265337110161,1.57862611247302,768.111888155397,777.236878389298,1227.23442689465,1571.37460941421,661.054715486985,0.919469813193172,0.353757350110992,0.323096224049597,0.724485426154468,0.750968939450878,5.72361252022058,2.41936761050796,0.706720969721657,1.81330280216615,3.54814991324092,392.173123892353,413.932869179724,525.210171204625,676.105716711762,392.164031424708,4226.01992418778,50680.8603578047,7683.0644590718,8599.2259713205,7313.92679122219,-545.799997925825
100,0.215,0.825,291.236492030796,750,0.5,1.78260769107155,3.43113815799321,0.3533078958601,0.903960336619538,0.597221532047667,831.176071050507,364.467228570113,1468.66599677859,804.212123180952,3878.38507011632,0.873241402277233,1.80519664670627,0.253860276188763,0.41271851631132,0.440030995163487,12.9656857723987,5.33967847728807,0.440626970375063,1.29957420281989,0.933330117900137,341.722012040323,306.309550189711,517.774863065901,442.005721185364,1032.31683499765,5531.12232571696,532.009603453958,12838.0553163219,14380.3594465518,52438.4322249617,-526.762655900923
100,0.215,0.825,291.236492030796,750,0.5,1.34217843603884,1.57251828116057,0.628311682031661,0.702453932996137,0.901001085061079,880.035368367163,469.314020230268,428.199620696563,12170.1167029194,1626.81763718302,0.705851142812861,1.13095260133163,0.497979222462074,0.473109493049146,0.656928762229609,2.51278971452059,2.18565007237008,0.816700625005893,3.18450984952067,1.38402694892031,465.199504340654,336.351168269199,261.753483932382,1161.09322651748,624.53652786012,6213.98918068809,871.34386626937,875.443081859263,138963.9695316,7919.89217186021,-558.003544835674
100,0.215,0.825,291.236492030796,750,0.5,0.894401140374184,1.14345124439082,0.555057306653473,1.10320704933074,2.3134456899843,1888.45048978304,1697.45933895624,328.691635494577,1006.78567474702,501.987753903808,0.453874816560225,0.510549759353313,0.414858713592711,0.552051404746193,0.844805236031763,2.20604256162319,7.88713378374411,0.677321405630583,2.85665319992983,13.2458393562016,530.655239793548,340.757565045816,204.603805335887,369.526757024383,318.394275848561,71732.7413223805,56053.1785869692,670.452937277568,18568.8743533017,2224.68316713086,-554.495749376966
100,0.215,0.825,291.236492030796,750,0.5,1.11260652179277,1.52923399566721,0.483335086389414,0.994725833062497,0.92498878219007,1334.54438012384,614.893624647307,875.600179017081,983.035749594142,1937.42937911596,0.557011653312162,0.826494262597897,0.354747967531767,0.650345220099695,0.554627451625517,9.81606159520656,4.08459453389827,0.662779483221832,1.76142312005721,2.04421892464549,378.029548947438,360.214020994981,415.979998490933,485.910318322638,684.518427992983,26433.7766175757,2618.36912589979,3088.02555018725,4725.81472821252,22875.6672832952,-558.017580854128
